BODY FRAME,TOES,BODY HAIR,TEETH ALIGNMENT,DIALY LIFE,WORK,WORK NATURE,SLEEP CYCLE,WEATHER,SKIN TEXTURE,Dominant_Dosha
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,"Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Large fingers/toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Pitta
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Large, even, gleaming teeth","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,Tolerates most climates as long as not too humid,"Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order","Prefers simplicity straight foreword work, dislikes change and complications in work","Light sleeper, wakes frequently","Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Large body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Light sleeper, wakes frequently","Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Large body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Light sleeper, wakes frequently","Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Medium body,Large fingers/toes,"Light body hair, finely textured; early","Large, even, gleaming teeth","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Light sleeper, wakes frequently",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Works well with routine,"Organized thinker/leader Constantly organizing, likes order","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places",Thicker skin usually beautiful with no need for lubrication,Kapha
Thin and unusually tall or short,Medium . fingers/ toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Large, even, gleaming teeth",Dislikes routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Vata
Medium body,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Large, even, gleaming teeth",Dislikes routine,"Organized thinker/leader Constantly organizing, likes order",Does many projects all at once prefers multitasking often tasks undone,Usually sleeps well,"Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,Usually sleeps well,"Prefers cool, well-ventilated places",Thicker skin usually beautiful with no need for lubrication,Vata
Large body,Medium . fingers/ toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places",Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Works well with routine,"Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,Usually sleeps well,Tolerates most climates as long as not too humid,"Oily skin, prone to pimples and rashes",Vata
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently",Tolerates most climates as long as not too humid,"Oily skin, prone to pimples and rashes",Vata
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created","Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently","Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Vata
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,"Light sleeper, wakes frequently","Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,"Light sleeper, wakes frequently","Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Large fingers/toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,Usually sleeps well,"Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created","Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently","Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Medium . fingers/ toes,Moderate amount of body hair,"Large, even, gleaming teeth","Enjoys planning/organizing, especially if self-created","Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,"Sound, heavy sleeper (8+ hours)","Prefers warm climate, sunshine, moisture. Dislikes dry, cold",Thicker skin usually beautiful with no need for lubrication,Vata
Thin and unusually tall or short,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently",Tolerates most climates as long as not too humid,"Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Long tapering fingers/toes,Moderate amount of body hair,"Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Large, even, gleaming teeth","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers warm climate, sunshine, moisture. Dislikes dry, cold",Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Large fingers/toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Works well with routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Large, even, gleaming teeth",Dislikes routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Organized thinker/leader Constantly organizing, likes order",Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently",Tolerates most climates as long as not too humid,"Oily skin, prone to pimples and rashes",Vata
Medium body,Long tapering fingers/toes,Moderate amount of body hair,"Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created","Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,"Oily skin, prone to pimples and rashes",Kapha
Large body,Large fingers/toes,Moderate amount of body hair,"Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)","Prefers warm climate, sunshine, moisture. Dislikes dry, cold",Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Long tapering fingers/toes,Moderate amount of body hair,"Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Light sleeper, wakes frequently",Tolerates most climates as long as not too humid,"Oily skin, prone to pimples and rashes",Kapha
Thin and unusually tall or short,Medium . fingers/ toes,Moderate amount of body hair,"Large, even, gleaming teeth","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Sound, heavy sleeper (8+ hours)","Prefers warm climate, sunshine, moisture. Dislikes dry, cold",Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Large, even, gleaming teeth","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,Tolerates most climates as long as not too humid,"Oily skin, prone to pimples and rashes",Kapha
Thin and unusually tall or short,Large fingers/toes,"Light body hair, finely textured; early","Large, even, gleaming teeth","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Works well with routine,"Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,"Sound, heavy sleeper (8+ hours)","Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,"Body hair is scanty or overly abundant � tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order",Does many projects all at once prefers multitasking often tasks undone,Usually sleeps well,"Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Oily skin, prone to pimples and rashes",Pitta
Large body,Medium . fingers/ toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Organized thinker/leader Constantly organizing, likes order",Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently","Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Thin and unusually tall or short,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Vata
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist","Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Kapha
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Kapha
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Kapha
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Kapha
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Kapha
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Kapha
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Kapha
Medium body,Long tapering fingers/toes,Moderate amount of body hair,"Med., even teeth, gums bleed easily",Dislikes routine,"Creative, spontaneous artist",Prefers organization and order in projects Projects few but tasks are completed.,"Sound, heavy sleeper (8+ hours)","Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Oily skin, prone to pimples and rashes",Pitta
Medium body,Long tapering fingers/toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created",Prefers to work under routine and to support ideals and goals of work environment or organization,Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work",Usually sleeps well,"Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Pitta
Medium body,Medium . fingers/ toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Med., even teeth, gums bleed easily",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)","Prefers cool, well-ventilated places",Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Large fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Large, even, gleaming teeth",Works well with routine,Prefers to work under routine and to support ideals and goals of work environment or organization,"Prefers simplicity straight foreword work, dislikes change and complications in work","Sound, heavy sleeper (8+ hours)",Tolerates most climates as long as not too humid,Thicker skin usually beautiful with no need for lubrication,Kapha
Large body,Long tapering fingers/toes,"Body hair is scanty or overly abundant – tends to be coarse, curly","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Creative, spontaneous artist",Prefers organization and order in projects Projects few but tasks are completed.,"Light sleeper, wakes frequently","Prefers cool, well-ventilated places","Dry skin, chaps easily, prone to calluses",Pitta
Medium body,Medium . fingers/ toes,"Light body hair, finely textured; early","Med., even teeth, gums bleed easily","Enjoys planning/organizing, especially if self-created","Creative, spontaneous artist",Prefers organization and order in projects Projects few but tasks are completed.,Usually sleeps well,"Prefers cool, well-ventilated places","Oily skin, prone to pimples and rashes",Pitta
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently","Prefers cool, well-ventilated places",Thicker skin usually beautiful with no need for lubrication,Vata
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Organized thinker/leader Constantly organizing, likes order",Prefers organization and order in projects Projects few but tasks are completed.,"Light sleeper, wakes frequently","Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
Thin and unusually tall or short,Long tapering fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Large, even, gleaming teeth","Enjoys planning/organizing, especially if self-created","Creative, spontaneous artist",Prefers organization and order in projects Projects few but tasks are completed.,"Sound, heavy sleeper (8+ hours)","Prefers warm climate, sunshine, moisture. Dislikes dry, cold",Thicker skin usually beautiful with no need for lubrication,Vata
Thin and unusually tall or short,Large fingers/toes,"Body hair is scanty or overly abundant â€“ tends to be coarse, curly","Crooked, uneven, buck teeth; braces when younger",Dislikes routine,"Creative, spontaneous artist",Does many projects all at once prefers multitasking often tasks undone,"Light sleeper, wakes frequently","Prefers warm climate, sunshine, moisture. Dislikes dry, cold","Dry skin, chaps easily, prone to calluses",Vata
